pid,text,_date,location,medium,object_type
g01,Lock Him Up,November 2018,"Boston, MA",Stenciled spray paint,stencil
g02,Lock Him Up,December 2018,"Boston, MA",Stenciled spray paint,stencil
g03,Eat the Rich,February 2019,"Allston, MA",Spray paint,throw
g04,Eat the Rich,February 2019,"Allston, MA",Spray paint,throw
g05,PR,February 2019,"Allston, MA",Spray paint,throw
g06,Eat the Rich. PROLE Capitalism is Force Fed to Us. Don't Swallow It,March 2019,"Allston, MA",Spray paint,throw
g07,Eat the Rich PROLE,March 2019,"Allston, MA",Spray paint,throw
g08,PROLE Eat the Rich,March 2019,"Boston, MA",Spray paint,throw
g09,PROLE Pig Says There Was No Art Here,April 2019,"Allston, MA",Spray paint,throw
g10,Pig Says Consume Me Consume Urself,April 2019,"Allston, MA",Spray paint,throw
g11,Eat the Rich,April 2019,"Boston, MA",Spray paint,throw
g12,Eat the Rich,April 2019,"Boston, MA",Spray paint,throw
g13,Be Gay End Imperialism PROLE,June 2019,"Boston, MA",Paint marker,tag
g14,PROLE PROLE PR,July 2019,"Allston, MA",Spray paint,tag
g15,Eat the Rich PROLE for the Hungry,July 2019,"Allston, MA",Spray paint,throw
g16,PROLE,July 2019,"Boston, MA",Spray paint,tag
g17,Eat the Rich,August 2019,"Allston, MA",Spray paint,throw
g18,PROLE,October 2019,"Allston, MA",Spray paint,tag
g19,Worker in Fragments PROLE Teeth to Testicles PROLE,October 2019,"Auburndale, MA",Spray paint,throw
g20,PROLE PROLE PROLE Eat the Rich,December 2019,"Binghamton, NY",Spray paint and a roller with house paint,piece
g21,Fuck Cops PROLE 4 Animal Liberation,February 2020,"Allston, MA",Spray paint,throw
g22,All Cops Are Pigs PROLE,June 2020,"Bainbridge, NY",Spray paint,throw
g23,PROLE,September 2020,"Stoneham,MA",Sharpie,tag
g24,PROLE,December 2021,NYC,Paint marker,tag
g25,PROLE,December 2021?,"Queens, NY",Grease pen,tag
g26,PROLE,April 2022,"Queens, NY",Spray paint,tag
g27,PROLE STS,May 2022,"Queens, NY",Paint marker,tag
g28,PROLE,June 2022,"Queens, NY",Spray paint,tag
g29,PROLE,July 2022,"Queens, NY",Grease pen,tag
g30,BLANK,July 2022,Private property in NY,Spray paint,piece
g31,PROLE,July 2022,"Somerville, MA",Grease pen,tag
g32,PROLE,July 2022,"Somerville, MA",Grease pen,tag
g33,PROLE,July 2022,"Somerville, MA",Grease pen,tag
g34,PROLE,July 2022,"Somerville, MA",Grease pen,tag
g35,PROLE,July 2022,"Somerville, MA",Spray paint,tag
g36,ACAB PROLE,July 2022,"Somerville, MA",Grease pen,tag
g37,PROLE,July 2022,"Somerville, MA",Grease pen,tag
g101,deLA,February 2018,,Paint marker and sharpie,sticker
g102,If I could capture how it feels to sit in the sun I'd give it to you,February 2018,,Paint marker and sharpie,sticker
g103,Spread your wings deLA 607,February 2018,,Sharpie and paint marker,sticker
g104,PROLE Seize the stickers of production,February 2018,,Paint marker and sharpie,sticker
g105,PROLE 100% Satire,March 2018,,Paint marker and sharpie,sticker
g106,PROLE Third Rail Skateboarding,April 2018,,Paint marker and sharpie,sticker
g107,For your consumption PROLE,August 2018,,Sharpie and pen,sticker
g108,PROLE,September 2018,,Sharpie and pen,sticker
g109,Roach Roach Roach Cockroach How many legs? PROLE Cockroaches,September 2018,,Sharpie and pen,sticker
g110,MomaMomaMomaMoma Etc. PROLE,September 2018,,Sharpie and pen,sticker
g111,I drew this from memory PROLE,September 2018,,Sharpie and pen,sticker
g112,ATM PROLE I drew this from memory,September 2018,,Sharpie and pen,sticker
g113,"PROLE ""The money grubbing poor"" PROLE [Vile hairy knuckled heathen]",September 2018,,Sharpie and pen,sticker
g114,"PROLE Counter Spectacle ""Prole""",September 2018,,Sharpie and pen,sticker
g115,PROLE Towers go up before our eyes PROLE Tall black boots familiar but how,September 2018,,Sharpie and pen,sticker
g116,Junkyard mountains piles of trash PROLE PROLE PROLE,September 2018,,Sharpie and pen,sticker
g117,Compartamentalize Pieces / Cells / Blocks / Systematic PROLE PROLE PROLE,September 2018,,Sharpie and pen,sticker
g118,Trash Kings Why all these smokestacks/pipes/useless machines vile polution idols/ dieties of the Trash King PROLE PROLE,September 2018,,Sharpie and pen,sticker
g119,PROLE,September 2018,,Sharpie and pen,sticker
